src;dst;capacity_mbps;delay_ms;r_link
0;2;502;13;0,968
0;3;855;10;0,967
0;5;337;8;0,953
0;7;282;14;0,960
0;9;239;12;0,995
0;10;662;12;0,996
0;11;616;13;0,963
0;12;261;3;0,957
0;14;703;5;0,990
0;17;225;14;0,971
0;18;269;13;0,995
0;19;326;12;0,963
0;22;622;5;0,980
0;28;108;12;0,987
0;29;383;11;0,995
0;30;549;4;0,999
0;31;763;10;0,988
0;34;593;8;0,961
0;37;594;12;0,992
0;40;569;4;0,974
0;43;228;12;0,950
0;44;756;10;0,972
0;45;614;6;0,995
0;48;806;12;0,987
0;50;977;3;0,996
0;53;570;8;0,969
0;57;627;13;0,956
0;60;489;10;0,997
0;62;561;10;0,985
0;64;290;11;0,983
0;67;304;9;0,970
0;75;486;5;0,998
0;81;104;6;0,993
0;84;432;11;0,955
0;86;378;15;0,986
0;89;758;4;0,991
0;90;208;10;0,984
0;92;116;13;0,972
0;93;898;12;0,953
0;95;737;7;0,965
0;98;698;12;0,955
0;99;101;5;0,985
0;101;172;9;0,961
0;109;729;4;0,991
0;110;737;15;0,950
0;112;259;8;0,992
0;118;700;9;0,992
0;120;428;5;0,990
0;121;614;4;0,964
0;122;191;13;0,951
0;123;975;14;0,992
0;124;505;11;0,980
0;127;957;7;0,985
0;128;999;8;0,952
0;133;409;11;0,971
0;134;431;4;0,988
0;135;103;5;0,968
0;136;950;3;0,987
0;137;912;4;0,963
0;138;273;12;0,984
0;140;391;14;0,988
0;144;185;12;0,998
0;151;402;5;0,961
0;152;163;6;0,997
0;157;448;10;0,980
0;159;801;3;0,982
0;160;527;4;0,965
0;162;684;5;0,967
0;164;152;11;0,965
0;168;466;5;0,967
0;174;236;11;0,963
0;179;855;5;0,978
0;180;274;5;0,950
0;182;599;11;0,972
0;183;626;4;0,968
0;184;546;7;0,977
0;185;641;7;0,993
0;188;376;4;0,989
0;189;301;14;0,984
0;204;922;13;0,982
0;205;711;8;0,994
0;206;541;10;0,987
0;209;665;9;0,972
0;210;201;11;0,987
0;216;661;7;0,968
0;217;437;11;0,956
0;219;706;10;0,966
