node_id;s_ms;r_node
0;0,85;0,962
1;0,88;0,977
2;1,35;0,967
3;1,94;0,994
4;1,09;0,978
5;1,10;0,994
6;0,51;0,965
7;1,52;0,966
8;0,70;0,993
9;0,91;0,977
10;1,93;0,968
11;1,33;0,967
12;1,72;0,975
13;1,69;0,954
14;0,61;0,978
15;0,90;0,958
16;0,98;0,953
17;1,93;0,999
18;1,72;0,975
19;1,70;0,960
20;0,88;0,986
21;1,44;0,958
22;1,93;0,996
23;1,13;0,992
24;0,97;0,959
25;0,74;0,987
26;1,94;0,993
27;1,98;0,952
28;1,91;0,975
29;1,29;0,968
30;0,94;0,994
31;0,52;0,962
32;1,67;0,998
33;0,56;0,996
34;1,57;0,952
35;0,93;0,952
36;1,75;0,983
37;0,97;0,985
38;1,97;0,970
39;0,97;0,981
40;1,00;0,990
41;1,12;0,997
42;1,14;0,956
43;1,75;0,985
44;1,35;0,967
45;1,18;0,964
46;0,70;0,955
47;1,54;0,969
48;0,76;0,986
49;0,78;0,996
50;1,69;0,965
51;1,18;0,998
52;1,73;0,961
53;0,59;0,956
54;1,24;0,995
55;1,06;0,983
56;0,89;0,987
57;1,81;0,996
58;1,01;0,961
59;0,90;0,969
60;1,93;0,995
61;0,94;0,970
62;1,47;0,977
63;1,05;0,987
64;0,79;0,968
65;0,62;0,962
66;0,82;0,957
67;1,68;0,987
68;1,72;0,973
69;0,97;0,958
70;1,74;0,994
71;0,63;0,978
72;0,87;0,971
73;1,45;0,961
74;1,24;0,970
75;1,42;0,965
76;1,83;0,974
77;0,75;0,977
78;1,38;0,976
79;1,46;0,959
80;1,27;0,959
81;1,11;0,985
82;0,54;0,961
83;0,86;0,968
84;0,51;0,998
85;1,40;0,957
86;1,13;0,963
87;1,20;0,975
88;1,75;0,993
89;1,04;0,996
90;1,23;0,953
91;1,88;0,982
92;0,89;0,953
93;1,73;0,965
94;0,89;0,959
95;1,25;0,976
96;1,81;0,976
97;0,54;0,986
98;0,72;0,994
99;1,50;0,952
100;1,45;0,970
101;1,18;0,962
102;0,67;0,970
103;1,05;0,973
104;1,59;0,955
105;1,07;0,994
106;1,66;0,972
107;1,76;0,976
108;0,58;0,952
109;0,98;0,951
110;1,39;0,984
111;1,79;0,997
112;1,69;0,996
113;0,52;0,958
114;1,31;0,956
115;1,21;0,961
116;0,87;0,975
117;1,20;0,969
118;1,76;0,986
119;1,48;0,975
120;1,75;0,990
121;1,55;0,967
122;1,86;0,998
123;1,20;0,994
124;1,69;0,953
125;1,89;0,952
126;0,56;0,959
127;1,41;0,974
128;1,33;0,957
129;0,76;0,952
130;1,34;0,974
131;1,60;0,994
132;0,83;0,967
133;1,17;0,983
134;1,57;0,991
135;1,03;0,984
136;1,16;0,985
137;1,81;0,999
138;0,56;0,971
139;1,78;0,969
140;1,51;0,972
141;1,81;0,997
142;0,62;0,996
143;1,16;0,980
144;1,33;0,996
145;0,59;0,966
146;0,96;0,972
147;1,06;0,959
148;0,91;0,998
149;1,49;0,970
150;1,04;0,966
151;1,40;0,977
152;0,95;0,986
153;1,55;0,979
154;1,49;0,967
155;0,51;0,960
156;1,28;0,970
157;0,86;0,998
158;1,01;0,969
159;1,78;0,958
160;1,43;0,964
161;1,46;0,956
162;0,96;0,995
163;1,26;0,985
164;1,34;0,987
165;0,67;0,960
166;1,60;0,951
167;0,87;0,977
168;1,42;0,977
169;1,97;0,973
170;0,72;0,968
171;1,10;0,979
172;1,52;0,969
173;1,89;0,951
174;1,82;0,964
175;1,11;0,971
176;0,84;0,950
177;0,95;0,958
178;1,80;0,983
179;0,77;0,973
180;1,69;0,989
181;0,85;0,969
182;1,57;0,959
183;1,30;0,996
184;1,82;0,955
185;1,43;0,951
186;0,93;0,992
187;1,26;0,985
188;1,14;0,974
189;1,88;0,961
190;1,57;0,955
191;1,05;0,981
192;1,22;0,975
193;1,21;0,978
194;1,66;0,965
195;1,07;0,999
196;1,30;0,967
197;1,15;0,978
198;1,81;0,967
199;1,58;0,998
200;0,71;0,957
201;0,72;0,982
202;1,57;0,995
203;1,27;0,998
204;1,87;0,959
205;1,90;0,979
206;1,03;0,957
207;1,35;0,969
208;0,89;0,998
209;1,22;0,961
210;0,53;0,957
211;0,61;0,963
212;1,99;0,978
213;1,20;0,976
214;1,33;0,992
215;0,90;0,985
216;1,16;0,970
217;0,88;0,984
218;1,22;0,988
219;1,53;0,976
220;1,35;0,971
221;1,16;0,982
222;1,90;0,992
223;0,57;0,953
224;1,63;0,994
225;0,55;0,975
226;1,83;0,970
227;1,07;0,994
228;1,19;0,959
229;1,87;0,990
230;1,28;0,971
231;0,90;0,989
232;1,18;0,956
233;1,20;0,966
234;1,78;0,953
235;1,71;0,995
236;1,47;0,952
237;1,30;0,952
238;0,59;0,988
239;1,18;0,963
240;1,67;0,965
241;0,99;0,983
242;1,82;0,993
243;0,63;0,963
244;1,36;0,978
245;1,68;0,970
246;1,44;0,979
247;1,51;0,970
248;0,79;0,962
249;1,43;0,978
